id,PyEGo,DockerizeMe,pipreqs,PyEGo-s2,PyEGo-s3
2764305,√,√,×,√,√
8184301,×,×,×,×,×
5403877,×,×,×,×,×
874808,×,×,×,×,×
5017218,√,√,√,√,√
19a4b105d1dff9a591b8,√,√,×,√,√
8209b67ff556cb18651d,×,√,×,×,×
0618f44dc5270f9a2be2826d0d933ed7,×,√,×,×,√
4043086,√,√,×,√,√
1556251,×,×,×,×,×
b9df49cfc1540bc8b896,×,×,×,×,×
451a6685fddcf8ccdfc5,×,×,×,×,×
9670681,√,√,√,√,√
1c160c9eee91fd44c587,×,×,×,×,×
de546cb143ebae4a489a482a05ab4beb,√,×,×,√,√
10005117,√,×,×,√,√
8a0f820261926e2f41cc,√,×,×,√,√
2aa430e00dde0cf905a9,√,×,√,√,×
5015483,×,×,×,×,×
2205aa857901be69a4186b7a74334a41,×,√,×,√,×
9f6118ff84867e89f3348707c7a1271f,√,×,×,√,√
4156864,×,×,×,×,×
31122eb9e4c0af8adeca,√,√,×,√,×
839f6a3534002a6a29d819666a28bf5e,√,×,×,√,√
1969d4648458cf876af92b3507856d70,×,×,×,×,×
32561f20db62886bcf6af5ce98087ab9,√,×,√,√,√
801265,×,×,×,×,×
7a9e046470dcf05420d4cdc2b2defd79,√,√,√,×,×
5703516,×,×,×,×,×
b82da1cb8f3afe5ccb643f87e2f853b0,√,√,×,√,√
3083085,√,×,×,√,√
844388,√,√,√,√,√
4089133,×,×,×,×,×
2184906,×,×,×,×,×
8ff8e31ee1a2a9585a5a,√,√,√,√,√
2392540,×,×,×,×,×
3298867,×,×,×,×,×
53aad9bb83b233b523270c30d36e4c81,√,√,×,×,√
5a51bc0ded46b230c5322a234cf8eabf,√,×,×,√,√
4173534,×,√,×,×,×
83a39d9328788372677a,√,×,×,√,√
8364262,√,√,√,√,√
d9ef555fb7ef5498c709,√,×,×,√,√
6504557,×,×,×,×,×
4deac45790fa339b537a,√,×,×,√,√
eeea2093888e8d4004ec06b5a1dede1e,×,×,×,×,×
946c4d9aa7a74828bc12,×,×,×,×,×
4959534,×,×,×,×,×
6229929,√,√,√,√,√
070c805d947bd17c7a19,√,×,√,√,√
1035890,×,×,×,×,×
1e8ab5bcf1a3af2c20de,√,×,√,√,×
11292725,×,√,×,×,×
825970,×,×,×,×,×
0191e14717af68bbba81,√,√,√,√,√
809420,×,√,×,×,√
fcb9409ef1c1835fa5fb25a860991751,×,×,×,×,×
80b4b93baa5b33ed25e1823d3494f0a8,√,×,×,√,√
6309113,√,√,×,√,√
0d25683d9c8fce27edd3,×,×,×,×,×
9fd4304148b398983b3c,×,×,×,×,×
b8462a8a1cb69f55d8356cbb0f3a4d63,√,×,×,√,√
2821544,√,×,×,√,√
4ed43412878723491240814a0d5a6ed6,√,√,×,√,×
5338905,×,×,×,×,×
1387470,×,×,×,×,×
9dcd642059214d81b3ef,√,√,×,√,√
69aec1259131b5619fb7,√,×,×,√,√
931984,√,√,×,×,√
4624820,×,×,×,×,×
8497c831c0a37ec4060b,√,×,√,√,√
06649145d7e6c4c147c02459fd2bc5af,×,×,×,×,×
5173293,×,×,×,×,×
18235723e926be0afbdd,×,×,×,×,×
3411495,×,×,×,×,×
ec5c8bed17396e8e55cf3305dbb88f56,√,×,×,√,√
6194738,×,×,×,×,×
